time	V(n003)
6.205873905928047e-004	-8.562354e-001
6.211068057278169e-004	-8.607836e-001
6.217022847723869e-004	-8.730940e-001
6.222500815328267e-004	-8.780169e-001
6.228275617116780e-004	-8.732929e-001
6.233556539351159e-004	-8.704326e-001
6.238592588650784e-004	-8.770314e-001
6.244213530850916e-004	-8.884914e-001
6.249587700257578e-004	-8.915468e-001
6.255287925685942e-004	-8.863578e-001
6.260730330205455e-004	-8.849851e-001
6.265908776329626e-004	-8.930279e-001
6.271377565889970e-004	-9.031675e-001
6.276935114641292e-004	-9.043732e-001
6.282707159091288e-004	-8.993459e-001
6.288629347651098e-004	-9.004994e-001
6.294165905678452e-004	-9.102508e-001
6.299684928201470e-004	-9.179852e-001
6.305517619561185e-004	-9.161069e-001
6.311106509248047e-004	-9.118200e-001
6.316564532114726e-004	-9.157538e-001
6.322403005994366e-004	-9.265260e-001
6.328165123780991e-004	-9.316586e-001
6.333520036161789e-004	-9.281211e-001
6.339346760420380e-004	-9.254726e-001
6.345070921401912e-004	-9.322631e-001
6.350814683329413e-004	-9.424303e-001
6.355923729350267e-004	-9.444686e-001
6.361551044154193e-004	-9.397835e-001
6.367360675687764e-004	-9.391999e-001
6.372659480319301e-004	-9.469647e-001
6.378469549658551e-004	-9.558492e-001
6.384290188221249e-004	-9.558476e-001
6.390079257957584e-004	-9.511846e-001
6.395155128144747e-004	-9.528965e-001
6.400766286513691e-004	-9.623808e-001
6.406352206493771e-004	-9.693902e-001
6.411590833055326e-004	-9.679233e-001
6.417811078685342e-004	-9.640573e-001
6.423928135276126e-004	-9.685376e-001
6.429461698362240e-004	-9.781108e-001
6.434196820363825e-004	-9.821845e-001
6.439587978518636e-004	-9.790213e-001
6.445363339115445e-004	-9.759561e-001
6.450730993291066e-004	-9.808027e-001
6.456626423497509e-004	-9.908488e-001
6.461331330565220e-004	-9.940475e-001
6.466690832325098e-004	-9.903095e-001
6.471703712148716e-004	-9.877301e-001
6.477191963849830e-004	-9.926993e-001
6.482801000843615e-004	-1.002193e+000
6.487271319776717e-004	-1.005619e+000
6.492559987797984e-004	-1.002361e+000
