time	V(n003)
4.532973735212353e-003	-2.841755e-001
4.534009497540384e-003	-2.869477e-001
4.534923032778065e-003	-2.956778e-001
4.536019679751719e-003	-3.076365e-001
4.537071792253094e-003	-3.132858e-001
4.538269466794810e-003	-3.192078e-001
4.539353870265181e-003	-3.293785e-001
4.540601528769505e-003	-3.399890e-001
4.541773573760917e-003	-3.460759e-001
4.543104758205536e-003	-3.555169e-001
4.544560129519044e-003	-3.680414e-001
4.547772499252685e-003	-3.893859e-001
4.549455651471667e-003	-4.026917e-001
4.558007673743288e-003	-4.630390e-001
4.566559696014909e-003	-5.217488e-001
4.575111718286529e-003	-5.788211e-001
4.583663740558149e-003	-6.342560e-001
4.592215762829769e-003	-6.880534e-001
4.600767785101390e-003	-7.402133e-001
4.609319807373010e-003	-7.907358e-001
4.630261521775874e-003	-9.028829e-001
4.643897174382980e-003	-9.677544e-001
4.658344256691709e-003	-1.028778e+000
4.674717109906571e-003	-1.087743e+000
4.692244816768855e-003	-1.138197e+000
4.711485420372721e-003	-1.177535e+000
4.733383997280385e-003	-1.203624e+000
4.748913516177680e-003	-1.208942e+000
4.764596168794356e-003	-1.200346e+000
4.786987927180927e-003	-1.168352e+000
4.809180333817686e-003	-1.114139e+000
4.838477208817686e-003	-1.010244e+000
4.867774083817686e-003	-8.749412e-001
4.897070958817687e-003	-7.105212e-001
4.926367833817687e-003	-5.225223e-001
4.955664708817687e-003	-3.173501e-001
4.984961583817687e-003	-1.049319e-001
4.998005485122132e-003	-2.425107e-002
5.004728055069243e-003	4.563557e-003
5.011154942241538e-003	4.572032e-002
5.014435198661288e-003	8.615741e-002
5.017965145666084e-003	1.314601e-001
5.021240669832284e-003	1.611163e-001
5.029908505801160e-003	2.272556e-001
5.045951255024999e-003	3.454961e-001
5.058176770875825e-003	4.321437e-001
5.078417215803319e-003	5.686621e-001
5.101749373051395e-003	7.134780e-001
5.131046248051395e-003	8.727472e-001
5.160343123051395e-003	1.002916e+000
5.189639998051395e-003	1.098449e+000
5.218936873051396e-003	1.161366e+000
5.235046619101149e-003	1.179175e+000
5.253794994826544e-003	1.182346e+000
5.271179234451483e-003	1.168786e+000
5.299447299418877e-003	1.115365e+000
5.328744174418877e-003	1.025652e+000
5.358041049418877e-003	9.012743e-001
5.387337924418877e-003	7.464875e-001
5.416634799418878e-003	5.664443e-001
5.445931674418878e-003	3.677039e-001
5.475228549418878e-003	1.595040e-001
5.487003280546311e-003	7.839916e-002
5.496682135234827e-003	2.238159e-002
5.501775214230808e-003	2.867083e-003
5.505649428577586e-003	-1.315670e-002
5.507105549163972e-003	-3.633463e-002
5.507806183068721e-003	-6.881839e-002
5.508321899412179e-003	-1.068681e-001
5.508902367433329e-003	-1.456894e-001
5.509269422677764e-003	-1.527287e-001
5.509713821274303e-003	-1.375339e-001
5.510211271683060e-003	-1.100943e-001
5.510742520543414e-003	-8.848521e-002
5.511294578436700e-003	-8.526946e-002
5.511739570952320e-003	-9.940666e-002
5.512250042449672e-003	-1.266225e-001
5.512994805926213e-003	-1.599076e-001
5.513480866968706e-003	-1.637318e-001
5.513977170084218e-003	-1.496560e-001
5.514516148164933e-003	-1.306737e-001
5.514991667486306e-003	-1.230113e-001
5.515455068277603e-003	-1.299565e-001
5.516034536694255e-003	-1.522280e-001
5.516639523352951e-003	-1.762700e-001
5.517126066143667e-003	-1.846468e-001
5.517630691535496e-003	-1.787550e-001
5.518221712612156e-003	-1.657030e-001
5.518866407212253e-003	-1.601223e-001
5.519416442902980e-003	-1.691838e-001
5.520069681197928e-003	-1.893077e-001
5.520772005080589e-003	-2.048598e-001
5.521309158245938e-003	-2.047126e-001
